LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Rimini;1/12/2023;"15";"5";"23";"7";"66";"15";"16";"37";"0";"999";"0";"0";"pioggia "
Rimini;2/12/2023;"15";"10";"19";"6";"55";"21";"32";"65";"0";"997";"0";"0";"pioggia "
Rimini;3/12/2023;"8";"3";"11";"5";"82";"20";"13";"28";"0";"1018";"0";"0";"pioggia "
Rimini;4/12/2023;"4";"0";"8";"2";"87";"15";"6";"15";"0";"1021";"0";"0";"pioggia "
Rimini;5/12/2023;"4";"3";"5";"3";"91";"14";"16";"22";"0";"1012";"0";"0";"pioggia "
Rimini;6/12/2023;"6";"2";"9";"3";"79";"18";"13";"26";"0";"1012";"0";"0";"pioggia "
Rimini;7/12/2023;"4";"0";"10";"2";"81";"19";"7";"17";"0";"1019";"0";"0";""
Rimini;8/12/2023;"3";"-2";"7";"2";"86";"14";"10";"21";"0";"1017";"0";"0";"pioggia "
Rimini;9/12/2023;"5";"3";"8";"3";"85";"12";"10";"21";"0";"1017";"0";"0";"pioggia "
Rimini;10/12/2023;"6";"1";"10";"4";"90";"11";"11";"24";"0";"1015";"0";"0";nebbia
Rimini;11/12/2023;"5";"1";"7";"4";"95";"8";"7";"15";"0";"1013";"0";"0";"nebbia "
Rimini;12/12/2023;"8";"5";"10";"6";"88";"6";"6";"13";"0";"1012";"0";"0";""
Rimini;13/12/2023;"9";"6";"17";"8";"90";"6";"8";"18";"0";"1002";"0";"0";nebbia
Rimini;14/12/2023;"7";"5";"10";"6";"96";"3";"11";"18";"0";"1011";"0";"0";"nebbia "
Rimini;15/12/2023;"8";"3";"12";"5";"85";"12";"16";"31";"0";"1026";"0";"0";"nebbia "
Rimini;16/12/2023;"10";"4";"12";"2";"61";"20";"17";"28";"0";"1036";"0";"0";""
Rimini;17/12/2023;"6";"1";"11";"2";"70";"21";"16";"26";"0";"1039";"0";"0";""
Rimini;18/12/2023;"5";"0";"12";"3";"78";"18";"6";"13";"0";"1034";"0";"0";""
Rimini;19/12/2023;"6";"0";"15";"2";"76";"19";"5";"13";"0";"1025";"0";"0";""
Rimini;20/12/2023;"5";"0";"10";"3";"82";"20";"6";"13";"0";"1014";"0";"0";""
Rimini;21/12/2023;"7";"2";"12";"4";"81";"19";"9";"21";"0";"1009";"0";"0";""
Rimini;22/12/2023;"11";"2";"20";"4";"64";"20";"10";"26";"0";"1001";"0";"0";""
Rimini;23/12/2023;"16";"14";"21";"4";"46";"20";"16";"31";"0";"1006";"0";"0";""
Rimini;24/12/2023;"12";"4";"18";"5";"66";"20";"10";"26";"0";"1013";"0";"0";""
Rimini;25/12/2023;"8";"3";"14";"5";"80";"19";"6";"13";"0";"1018";"0";"0";""
Rimini;26/12/2023;"7";"3";"11";"6";"90";"20";"4";"8";"0";"1020";"0";"0";""
Rimini;27/12/2023;"8";"4";"15";"7";"90";"14";"4";"11";"0";"1026";"0";"0";""
Rimini;28/12/2023;"9";"1";"17";"5";"78";"20";"8";"17";"0";"1027";"0";"0";""
Rimini;29/12/2023;"11";"7";"16";"7";"80";"15";"7";"18";"0";"1023";"0";"0";""
Rimini;30/12/2023;"9";"7";"12";"8";"93";"6";"5";"9";"0";"1021";"0";"0";pioggia
Rimini;31/12/2023;"11";"7";"16";"9";"84";"9";"9";"24";"0";"1015";"0";"0";pioggia
