LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Rimini;1/1/2023;"8";"4";"11";"7";"96";"2";"5";"11";"0";"1031";"0";"0";"nebbia "
Rimini;2/1/2023;"8";"7";"9";"8";"100";"1";"4";"9";"0";"1030";"0";"0";pioggia
Rimini;3/1/2023;"8";"7";"8";"8";"100";"1";"5";"9";"0";"1029";"0";"0";pioggia
Rimini;4/1/2023;"9";"7";"12";"9";"96";"4";"8";"13";"0";"1030";"0";"0";pioggia
Rimini;5/1/2023;"9";"8";"10";"8";"95";"1";"5";"8";"0";"1024";"0";"0";pioggia
Rimini;6/1/2023;"9";"6";"12";"7";"87";"4";"4";"9";"0";"1025";"0";"0";pioggia
Rimini;7/1/2023;"11";"9";"12";"7";"80";"6";"5";"8";"0";"1024";"0";"0";""
Rimini;8/1/2023;"13";"8";"19";"7";"67";"14";"13";"26";"0";"1016";"0";"0";"pioggia "
Rimini;9/1/2023;"11";"8";"16";"8";"82";"15";"14";"31";"0";"1004";"0";"0";pioggia
Rimini;10/1/2023;"9";"6";"14";"5";"59";"22";"14";"30";"0";"1015";"0";"0";"pioggia "
Rimini;11/1/2023;"6";"0";"14";"2";"64";"21";"5";"11";"0";"1020";"0";"0";""
Rimini;12/1/2023;"8";"3";"12";"3";"70";"19";"12";"30";"0";"1022";"0";"0";"pioggia "
Rimini;13/1/2023;"8";"3";"13";"4";"78";"15";"5";"11";"0";"1019";"0";"0";""
Rimini;14/1/2023;"8";"3";"14";"4";"77";"13";"7";"13";"0";"1022";"0";"0";""
Rimini;15/1/2023;"9";"1";"17";"6";"72";"14";"14";"33";"0";"1014";"0";"0";""
Rimini;16/1/2023;"8";"5";"13";"5";"82";"11";"11";"24";"0";"1000";"0";"0"; nebbia
Rimini;17/1/2023;"8";"6";"10";"6";"86";"17";"12";"24";"0";"989";"0";"0";"pioggia "
Rimini;18/1/2023;"6";"3";"11";"5";"89";"15";"8";"22";"0";"993";"0";"0"; nebbia
Rimini;19/1/2023;"5";"1";"10";"2";"85";"15";"10";"18";"0";"1001";"0";"0";"pioggia "
Rimini;20/1/2023;"4";"3";"7";"2";"82";"18";"22";"30";"0";"1006";"0";"0";"pioggia "
Rimini;21/1/2023;"6";"3";"7";"2";"63";"20";"22";"37";"0";"1008";"0";"0";"pioggia "
Rimini;22/1/2023;"5";"3";"8";"3";"89";"11";"18";"57";"0";"1013";"0";"0";"pioggia "
Rimini;23/1/2023;"6";"2";"10";"3";"80";"16";"20";"44";"0";"1015";"0";"0";"pioggia "
Rimini;24/1/2023;"7";"3";"10";"5";"86";"18";"14";"21";"0";"1027";"0";"0";"pioggia "
Rimini;25/1/2023;"8";"6";"10";"5";"80";"17";"12";"21";"0";"1023";"0";"0";"pioggia "
Rimini;26/1/2023;"5";"4";"6";"2";"84";"18";"17";"22";"0";"1014";"0";"0";"pioggia "
Rimini;27/1/2023;"4";"3";"7";"1";"76";"20";"15";"24";"0";"1012";"0";"0";"pioggia "
Rimini;28/1/2023;"5";"3";"7";"1";"73";"20";"16";"22";"0";"1017";"0";"0";"pioggia "
Rimini;29/1/2023;"4";"2";"6";"1";"75";"19";"13";"24";"0";"1024";"0";"0";""
Rimini;30/1/2023;"4";"-1";"8";"1";"77";"19";"7";"11";"0";"1019";"0";"0";""
Rimini;31/1/2023;"3";"-1";"8";"2";"84";"15";"5";"9";"0";"1022";"0";"0";""
