LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Rimini;1/11/2023;"15";"9";"19";"9";"72";"20";"7";"21";"0";"1013";"0";"0";""
Rimini;2/11/2023;"19";"13";"23";"11";"64";"20";"18";"37";"0";"1000";"0";"0";"pioggia "
Rimini;3/11/2023;"15";"10";"19";"6";"59";"20";"23";"50";"0";"990";"0";"0";"pioggia "
Rimini;4/11/2023;"15";"8";"19";"7";"62";"19";"11";"22";"0";"997";"0";"0";"pioggia "
Rimini;5/11/2023;"19";"12";"23";"8";"53";"20";"26";"55";"0";"993";"0";"0";"pioggia "
Rimini;6/11/2023;"18";"14";"23";"8";"52";"22";"14";"28";"0";"1011";"0";"0";""
Rimini;7/11/2023;"15";"10";"19";"10";"77";"20";"7";"15";"0";"1016";"0";"0";"pioggia "
Rimini;9/11/2023;"13";"5";"19";"6";"69";"20";"8";"21";"0";"1017";"0";"0";"pioggia "
Rimini;10/11/2023;"12";"10";"15";"10";"84";"20";"10";"22";"0";"1006";"0";"0";"pioggia "
Rimini;11/11/2023;"10";"5";"15";"6";"81";"20";"6";"11";"0";"1006";"0";"0";""
Rimini;12/11/2023;"9";"5";"15";"6";"83";"17";"6";"11";"0";"1010";"0";"0";"pioggia "
Rimini;13/11/2023;"10";"5";"14";"8";"92";"5";"6";"11";"0";"1016";"0";"0";"nebbia "
Rimini;14/11/2023;"11";"8";"15";"9";"93";"3";"5";"11";"0";"1014";"0";"0";"nebbia "
Rimini;15/11/2023;"12";"7";"16";"10";"88";"6";"8";"18";"0";"1014";"0";"0";""
Rimini;16/11/2023;"11";"6";"16";"6";"72";"19";"6";"13";"0";"1016";"0";"0";""
Rimini;17/11/2023;"11";"7";"16";"7";"76";"19";"8";"15";"0";"1012";"0";"0";""
Rimini;18/11/2023;"9";"4";"16";"3";"67";"22";"7";"21";"0";"1022";"0";"0";""
Rimini;19/11/2023;"8";"3";"13";"4";"76";"19";"5";"9";"0";"1019";"0";"0";""
Rimini;20/11/2023;"10";"5";"14";"7";"85";"13";"5";"9";"0";"1014";"0";"0";""
Rimini;21/11/2023;"11";"9";"13";"9";"90";"7";"14";"26";"0";"1008";"0";"0";"pioggia "
Rimini;22/11/2023;"13";"12";"14";"7";"66";"19";"28";"37";"0";"1012";"0";"0";"pioggia "
Rimini;23/11/2023;"10";"5";"13";"5";"73";"21";"15";"24";"0";"1020";"0";"0";""
Rimini;24/11/2023;"7";"2";"12";"4";"83";"20";"6";"17";"0";"1004";"0";"0";""
Rimini;25/11/2023;"7";"4";"12";"4";"56";"17";"22";"35";"0";"1003";"0";"0";"pioggia "
Rimini;26/11/2023;"8";"1";"14";"0";"39";"20";"15";"28";"0";"1011";"0";"0";""
Rimini;27/11/2023;"8";"0";"14";"4";"68";"21";"11";"26";"0";"1010";"0";"0";"pioggia "
Rimini;28/11/2023;"6";"2";"11";"4";"84";"14";"10";"24";"0";"996";"0";"0";"pioggia "
Rimini;29/11/2023;"6";"2";"12";"1";"68";"17";"8";"17";"0";"1006";"0";"0";""
Rimini;30/11/2023;"8";"5";"14";"5";"80";"16";"12";"24";"0";"1005";"0";"0";"pioggia "
