LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Rimini;1/8/2024;"28";"22";"32";"20";"62";"20";"0";"0";"0";"1010";"0";"0";""
Rimini;2/8/2024;"28";"24";"30";"20";"65";"19";"0";"0";"0";"1008";"0";"0";""
Rimini;3/8/2024;"25";"20";"29";"20";"74";"19";"0";"17";"0";"1008";"0";"0";pioggia
Rimini;4/8/2024;"26";"21";"30";"19";"71";"20";"0";"0";"0";"1011";"0";"0";""
Rimini;5/8/2024;"26";"21";"30";"19";"66";"19";"0";"0";"0";"1011";"0";"0";""
Rimini;6/8/2024;"27";"22";"30";"19";"65";"19";"0";"0";"0";"1010";"0";"0";""
Rimini;7/8/2024;"27";"22";"31";"20";"67";"21";"1";"48";"0";"1011";"0";"0";pioggia
Rimini;8/8/2024;"26";"21";"29";"19";"66";"21";"0";"0";"0";"1013";"0";"0";""
Rimini;9/8/2024;"26";"20";"30";"20";"69";"20";"0";"0";"0";"1015";"0";"0";""
Rimini;10/8/2024;"27";"21";"31";"20";"68";"19";"0";"0";"0";"1018";"0";"0";""
Rimini;11/8/2024;"27";"22";"32";"21";"70";"20";"0";"0";"0";"1017";"0";"0";""
Rimini;12/8/2024;"28";"22";"32";"21";"68";"19";"0";"0";"0";"1013";"0";"0";""
Rimini;13/8/2024;"28";"22";"32";"21";"64";"20";"0";"0";"0";"1010";"0";"0";""
Rimini;14/8/2024;"28";"23";"32";"20";"60";"20";"0";"0";"0";"1010";"0";"0";""
Rimini;15/8/2024;"28";"24";"31";"20";"64";"18";"0";"0";"0";"1015";"0";"0";""
Rimini;16/8/2024;"27";"23";"31";"20";"65";"20";"0";"0";"0";"1015";"0";"0";""
Rimini;17/8/2024;"28";"24";"31";"19";"61";"19";"0";"0";"0";"1012";"0";"0";pioggia
Rimini;18/8/2024;"25";"22";"32";"18";"66";"21";"0";"0";"0";"1007";"0";"0";pioggia
Rimini;19/8/2024;"22";"20";"25";"18";"80";"19";"0";"0";"0";"1007";"0";"0";pioggia
Rimini;20/8/2024;"24";"21";"27";"20";"83";"17";"0";"0";"0";"1010";"0";"0";"pioggia "
Rimini;21/8/2024;"26";"21";"30";"20";"71";"20";"0";"0";"0";"1011";"0";"0";""
Rimini;22/8/2024;"26";"21";"30";"20";"71";"19";"0";"0";"0";"1012";"0";"0";""
Rimini;23/8/2024;"26";"21";"30";"20";"70";"21";"0";"0";"0";"1014";"0";"0";""
Rimini;24/8/2024;"27";"22";"30";"22";"74";"20";"0";"0";"0";"1015";"0";"0";""
Rimini;25/8/2024;"27";"22";"30";"19";"64";"20";"0";"0";"0";"1014";"0";"0";""
Rimini;26/8/2024;"26";"21";"30";"19";"65";"20";"0";"0";"0";"1013";"0";"0";""
Rimini;27/8/2024;"26";"23";"29";"20";"67";"21";"0";"0";"0";"1015";"0";"0";""
Rimini;28/8/2024;"26";"22";"30";"19";"66";"19";"0";"0";"0";"1016";"0";"0";""
Rimini;29/8/2024;"27";"22";"31";"20";"66";"21";"0";"0";"0";"1016";"0";"0";""
Rimini;30/8/2024;"27";"22";"31";"19";"62";"21";"0";"0";"0";"1016";"0";"0";""
Rimini;31/8/2024;"26";"21";"30";"19";"66";"18";"0";"0";"0";"1016";"0";"0";""
