LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Rimini;1/4/2024;"16";"13";"20";"10";"69";"12";"13";"35";"0";"1005";"0";"0";"pioggia "
Rimini;2/4/2024;"16";"11";"21";"3";"44";"20";"18";"31";"0";"1013";"0";"0";""
Rimini;3/4/2024;"15";"12";"19";"4";"47";"20";"12";"21";"0";"1016";"0";"0";""
Rimini;4/4/2024;"13";"7";"19";"9";"75";"20";"9";"21";"0";"1019";"0";"0";""
Rimini;5/4/2024;"14";"7";"19";"8";"72";"21";"7";"15";"0";"1022";"0";"0";""
Rimini;6/4/2024;"14";"9";"19";"10";"75";"20";"7";"13";"0";"1023";"0";"0";""
Rimini;7/4/2024;"15";"9";"20";"9";"70";"20";"6";"11";"0";"1021";"0";"0";""
Rimini;8/4/2024;"15";"10";"19";"12";"84";"19";"8";"17";"0";"1017";"0";"0";""
Rimini;9/4/2024;"17";"10";"25";"11";"73";"18";"8";"21";"0";"1014";"0";"0";""
Rimini;10/4/2024;"16";"14";"19";"11";"71";"20";"12";"24";"0";"1016";"0";"0";""
Rimini;11/4/2024;"16";"12";"20";"10";"69";"21";"12";"18";"0";"1026";"0";"0";""
Rimini;12/4/2024;"18";"13";"21";"10";"64";"20";"10";"21";"0";"1028";"0";"0";""
Rimini;13/4/2024;"18";"12";"23";"12";"72";"20";"8";"18";"0";"1026";"0";"0";""
Rimini;14/4/2024;"17";"11";"23";"12";"71";"20";"7";"15";"0";"1022";"0";"0";""
Rimini;15/4/2024;"20";"11";"27";"8";"48";"21";"12";"28";"0";"1013";"0";"0";""
Rimini;16/4/2024;"19";"12";"25";"7";"48";"19";"18";"35";"0";"1001";"0";"0";"pioggia "
Rimini;17/4/2024;"12";"8";"15";"6";"68";"20";"12";"24";"0";"1005";"0";"0";pioggia
Rimini;18/4/2024;"11";"6";"14";"5";"69";"21";"13";"31";"0";"1008";"0";"0";pioggia
Rimini;19/4/2024;"13";"9";"15";"4";"49";"20";"15";"28";"0";"1014";"0";"0";""
Rimini;20/4/2024;"12";"8";"15";"5";"60";"20";"10";"21";"0";"1009";"0";"0";pioggia
Rimini;21/4/2024;"11";"6";"14";"4";"63";"21";"11";"18";"0";"1013";"0";"0";""
Rimini;22/4/2024;"12";"9";"15";"6";"68";"19";"12";"22";"0";"1010";"0";"0";"pioggia "
Rimini;23/4/2024;"8";"6";"11";"6";"86";"19";"12";"18";"0";"1008";"0";"0";"pioggia "
Rimini;24/4/2024;"9";"6";"12";"6";"85";"17";"9";"18";"0";"1006";"0";"0";"pioggia "
Rimini;25/4/2024;"10";"4";"13";"5";"76";"18";"12";"22";"0";"1008";"0";"0";""
Rimini;26/4/2024;"11";"7";"16";"8";"83";"19";"8";"18";"0";"1011";"0";"0";"pioggia "
Rimini;27/4/2024;"13";"10";"16";"11";"84";"20";"9";"15";"0";"1016";"0";"0";"pioggia "
Rimini;28/4/2024;"14";"8";"18";"12";"89";"19";"9";"22";"0";"1019";"0";"0";""
Rimini;29/4/2024;"15";"9";"19";"11";"79";"16";"8";"17";"0";"1021";"0";"0";"nebbia "
Rimini;30/4/2024;"16";"9";"21";"10";"72";"20";"7";"15";"0";"1017";"0";"0";""
