LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Rimini;1/2/2024;"4";"-2";"11";"1";"73";"19";"6";"11";"0";"1028";"0";"0";""
Rimini;2/2/2024;"4";"-1";"12";"3";"84";"14";"6";"11";"0";"1029";"0";"0";""
Rimini;3/2/2024;"5";"-1";"13";"3";"82";"19";"5";"11";"0";"1026";"0";"0";""
Rimini;4/2/2024;"6";"1";"13";"4";"84";"16";"5";"13";"0";"1024";"0";"0";""
Rimini;5/2/2024;"6";"1";"12";"5";"91";"8";"5";"9";"0";"1023";"0";"0";""
Rimini;6/2/2024;"5";"0";"10";"5";"95";"10";"5";"8";"0";"1022";"0";"0";"nebbia "
Rimini;7/2/2024;"10";"2";"17";"6";"79";"19";"8";"18";"0";"1014";"0";"0";""
Rimini;8/2/2024;"10";"3";"17";"6";"79";"20";"7";"18";"0";"1010";"0";"0";""
Rimini;9/2/2024;"15";"13";"17";"8";"61";"21";"16";"28";"0";"1004";"0";"0";""
Rimini;10/2/2024;"12";"10";"14";"9";"83";"14";"8";"17";"0";"995";"0";"0";"pioggia "
Rimini;11/2/2024;"12";"7";"17";"8";"79";"20";"11";"26";"0";"993";"0";"0";"pioggia "
Rimini;12/2/2024;"9";"6";"13";"8";"89";"19";"8";"18";"0";"1004";"0";"0";""
Rimini;13/2/2024;"10";"4";"14";"7";"85";"18";"10";"24";"0";"1017";"0";"0";""
Rimini;14/2/2024;"6";"1";"11";"4";"87";"16";"5";"11";"0";"1024";"0";"0";""
Rimini;15/2/2024;"6";"1";"11";"5";"94";"12";"5";"13";"0";"1024";"0";"0";"nebbia "
Rimini;16/2/2024;"7";"5";"10";"6";"94";"1";"4";"9";"0";"1022";"0";"0";"nebbia "
Rimini;17/2/2024;"6";"1";"10";"5";"88";"2";"4";"11";"0";"1027";"0";"0";"nebbia "
Rimini;18/2/2024;"8";"3";"15";"5";"85";"2";"5";"11";"0";"1030";"0";"0";"nebbia "
Rimini;19/2/2024;"9";"4";"14";"6";"85";"2";"7";"22";"0";"1024";"0";"0";"nebbia "
Rimini;20/2/2024;"9";"4";"15";"5";"79";"15";"6";"15";"0";"1024";"0";"0";""
Rimini;21/2/2024;"8";"2";"15";"4";"73";"20";"6";"13";"0";"1024";"0";"0";""
Rimini;22/2/2024;"13";"4";"17";"3";"55";"21";"14";"24";"0";"1013";"0";"0";"pioggia "
Rimini;23/2/2024;"15";"9";"20";"7";"62";"18";"18";"33";"0";"1000";"0";"0";"pioggia "
Rimini;24/2/2024;"10";"5";"16";"4";"68";"20";"10";"26";"0";"1008";"0";"0";"pioggia "
Rimini;25/2/2024;"10";"5";"14";"5";"74";"18";"7";"13";"0";"1010";"0";"0";""
Rimini;26/2/2024;"9";"1";"14";"6";"79";"20";"9";"17";"0";"1006";"0";"0";"pioggia "
Rimini;27/2/2024;"14";"12";"15";"10";"81";"22";"11";"18";"0";"1006";"0";"0";"pioggia "
Rimini;28/2/2024;"12";"9";"14";"11";"94";"5";"9";"17";"0";"1014";"0";"0";"pioggia "
Rimini;29/2/2024;"13";"12";"15";"11";"90";"14";"9";"15";"0";"1012";"0";"0";"pioggia "
