LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Rimini;1/6/2024;"22";"14";"27";"10";"49";"20";"0";"0";"0";"1011";"0";"0";""
Rimini;2/6/2024;"19";"12";"22";"11";"61";"20";"0";"0";"0";"1014";"0";"0";"pioggia "
Rimini;3/6/2024;"19";"16";"23";"13";"73";"20";"0";"0";"0";"1013";"0";"0";pioggia
Rimini;4/6/2024;"20";"12";"24";"14";"70";"21";"0";"0";"0";"1013";"0";"0";""
Rimini;5/6/2024;"21";"15";"24";"15";"71";"21";"0";"0";"0";"1015";"0";"0";""
Rimini;6/6/2024;"22";"15";"26";"15";"65";"21";"0";"0";"0";"1017";"0";"0";""
Rimini;7/6/2024;"23";"17";"26";"17";"68";"21";"0";"0";"0";"1016";"0";"0";""
Rimini;8/6/2024;"24";"18";"28";"15";"59";"20";"0";"0";"0";"1013";"0";"0";""
Rimini;9/6/2024;"26";"21";"31";"16";"57";"19";"0";"0";"0";"1007";"0";"0";"pioggia "
Rimini;10/6/2024;"25";"22";"29";"17";"61";"20";"0";"0";"0";"1004";"0";"0";""
Rimini;11/6/2024;"24";"17";"28";"13";"52";"21";"0";"0";"0";"1008";"0";"0";""
Rimini;12/6/2024;"22";"18";"25";"15";"63";"19";"0";"0";"0";"1011";"0";"0";"pioggia "
Rimini;13/6/2024;"20";"16";"22";"14";"70";"20";"0";"0";"0";"1014";"0";"0";pioggia
Rimini;14/6/2024;"20";"14";"24";"12";"64";"18";"0";"0";"0";"1016";"0";"0";""
Rimini;15/6/2024;"23";"14";"29";"13";"55";"20";"0";"0";"0";"1012";"0";"0";""
Rimini;16/6/2024;"24";"20";"26";"11";"46";"20";"0";"0";"0";"1011";"0";"0";""
Rimini;17/6/2024;"22";"14";"26";"12";"53";"20";"0";"0";"0";"1015";"0";"0";""
Rimini;18/6/2024;"23";"17";"27";"16";"67";"20";"0";"0";"0";"1017";"0";"0";""
Rimini;19/6/2024;"27";"21";"34";"17";"58";"21";"0";"0";"0";"1016";"0";"0";""
Rimini;20/6/2024;"26";"21";"30";"17";"57";"20";"0";"0";"0";"1018";"0";"0";""
Rimini;21/6/2024;"25";"22";"28";"20";"73";"19";"0";"0";"0";"1014";"0";"0";pioggia
Rimini;22/6/2024;"25";"17";"30";"13";"50";"21";"0";"0";"0";"1010";"0";"0";""
Rimini;23/6/2024;"21";"17";"24";"14";"66";"21";"0";"0";"0";"1010";"0";"0";"pioggia "
Rimini;24/6/2024;"23";"19";"25";"18";"74";"20";"0";"0";"0";"1011";"0";"0";""
Rimini;25/6/2024;"23";"20";"25";"18";"75";"20";"0";"0";"0";"1011";"0";"0";pioggia
Rimini;26/6/2024;"21";"19";"24";"17";"76";"19";"0";"0";"0";"1011";"0";"0";pioggia
Rimini;27/6/2024;"24";"17";"28";"17";"65";"19";"0";"0";"0";"1011";"0";"0";""
Rimini;28/6/2024;"26";"19";"29";"18";"62";"19";"0";"0";"0";"1015";"0";"0";""
Rimini;29/6/2024;"26";"21";"29";"20";"71";"21";"0";"0";"0";"1016";"0";"0";""
Rimini;30/6/2024;"30";"26";"33";"16";"45";"21";"0";"0";"0";"1010";"0";"0";""
