LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Rimini;1/7/2024;"26";"20";"32";"17";"57";"20";"0";"0";"0";"1010";"0";"0";"pioggia "
Rimini;2/7/2024;"23";"19";"27";"16";"66";"20";"0";"0";"0";"1008";"0";"0";""
Rimini;3/7/2024;"22";"18";"26";"15";"64";"19";"0";"0";"0";"1007";"0";"0";pioggia
Rimini;4/7/2024;"21";"17";"24";"16";"75";"19";"0";"0";"0";"1010";"0";"0";"pioggia "
Rimini;5/7/2024;"23";"17";"27";"17";"71";"20";"0";"0";"0";"1014";"0";"0";""
Rimini;6/7/2024;"26";"19";"33";"16";"56";"21";"0";"15";"0";"1011";"0";"0";""
Rimini;7/7/2024;"27";"24";"31";"17";"57";"21";"0";"0";"0";"1011";"0";"0";"pioggia "
Rimini;8/7/2024;"25";"20";"29";"19";"70";"18";"0";"0";"0";"1014";"0";"0";""
Rimini;9/7/2024;"27";"21";"31";"19";"62";"18";"0";"0";"0";"1015";"0";"0";""
Rimini;10/7/2024;"29";"23";"33";"20";"60";"21";"0";"0";"0";"1014";"0";"0";""
Rimini;11/7/2024;"29";"23";"32";"20";"60";"22";"0";"15";"0";"1013";"0";"0";""
Rimini;12/7/2024;"29";"22";"33";"20";"59";"22";"0";"0";"0";"1010";"0";"0";""
Rimini;13/7/2024;"29";"25";"31";"18";"54";"19";"0";"0";"0";"1009";"0";"0";""
Rimini;14/7/2024;"28";"22";"31";"17";"53";"20";"0";"0";"0";"1011";"0";"0";""
Rimini;15/7/2024;"27";"21";"31";"18";"58";"22";"0";"0";"0";"1012";"0";"0";""
Rimini;16/7/2024;"28";"22";"32";"18";"57";"19";"0";"0";"0";"1011";"0";"0";""
Rimini;17/7/2024;"28";"21";"32";"19";"59";"20";"0";"0";"0";"1013";"0";"0";""
Rimini;18/7/2024;"28";"23";"31";"19";"58";"19";"0";"0";"0";"1016";"0";"0";""
Rimini;19/7/2024;"28";"22";"32";"20";"60";"21";"0";"0";"0";"1014";"0";"0";""
Rimini;20/7/2024;"27";"21";"29";"19";"65";"20";"0";"0";"0";"1010";"0";"0";""
Rimini;21/7/2024;"27";"21";"32";"20";"66";"20";"0";"0";"0";"1009";"0";"0";""
Rimini;22/7/2024;"27";"23";"30";"18";"59";"20";"0";"0";"0";"1011";"0";"0";"pioggia "
Rimini;23/7/2024;"27";"22";"31";"19";"64";"19";"0";"0";"0";"1014";"0";"0";""
Rimini;24/7/2024;"27";"22";"31";"18";"60";"20";"0";"0";"0";"1012";"0";"0";""
Rimini;25/7/2024;"27";"22";"31";"18";"61";"20";"0";"0";"0";"1011";"0";"0";""
Rimini;26/7/2024;"26";"19";"31";"16";"56";"19";"0";"0";"0";"1012";"0";"0";""
Rimini;27/7/2024;"27";"21";"30";"19";"62";"22";"0";"0";"0";"1014";"0";"0";""
Rimini;28/7/2024;"28";"22";"31";"19";"60";"19";"0";"0";"0";"1016";"0";"0";""
Rimini;29/7/2024;"28";"24";"30";"21";"67";"21";"0";"0";"0";"1017";"0";"0";""
Rimini;30/7/2024;"26";"21";"30";"17";"58";"20";"0";"0";"0";"1017";"0";"0";""
Rimini;31/7/2024;"26";"20";"30";"17";"59";"20";"0";"0";"0";"1014";"0";"0";""
