LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Rimini;1/5/2024;"16";"11";"19";"13";"85";"19";"11";"24";"0";"1008";"0";"0";pioggia
Rimini;2/5/2024;"15";"12";"20";"10";"72";"20";"11";"33";"0";"1008";"0";"0";"pioggia "
Rimini;3/5/2024;"13";"7";"17";"8";"70";"20";"9";"15";"0";"1011";"0";"0";"pioggia "
Rimini;4/5/2024;"15";"12";"19";"11";"75";"19";"8";"17";"0";"1015";"0";"0";""
Rimini;5/5/2024;"16";"10";"20";"11";"75";"20";"10";"22";"0";"1015";"0";"0";""
Rimini;6/5/2024;"17";"11";"22";"10";"66";"19";"9";"18";"0";"1013";"0";"0";""
Rimini;7/5/2024;"16";"14";"17";"11";"74";"19";"9";"17";"0";"1013";"0";"0";"pioggia "
Rimini;8/5/2024;"15";"10";"19";"13";"86";"19";"9";"18";"0";"1016";"0";"0";""
Rimini;9/5/2024;"17";"14";"21";"11";"68";"22";"8";"15";"0";"1018";"0";"0";""
Rimini;10/5/2024;"17";"11";"21";"10";"65";"18";"9";"17";"0";"1018";"0";"0";""
Rimini;11/5/2024;"17";"11";"21";"9";"60";"21";"8";"17";"0";"1018";"0";"0";""
Rimini;12/5/2024;"18";"10";"23";"10";"62";"19";"9";"18";"0";"1017";"0";"0";""
Rimini;13/5/2024;"19";"14";"23";"12";"68";"20";"9";"18";"0";"1014";"0";"0";pioggia
Rimini;14/5/2024;"19";"16";"22";"15";"76";"22";"10";"18";"0";"1011";"0";"0";""
Rimini;15/5/2024;"19";"16";"21";"16";"85";"20";"0";"0";"0";"1008";"0";"0";pioggia
Rimini;16/5/2024;"18";"16";"21";"16";"87";"14";"0";"0";"0";"1006";"0";"0";""
Rimini;17/5/2024;"20";"15";"25";"11";"57";"20";"0";"0";"0";"1011";"0";"0";""
Rimini;18/5/2024;"18";"12";"21";"13";"74";"18";"0";"0";"0";"1013";"0";"0";""
Rimini;19/5/2024;"17";"13";"20";"15";"89";"13";"0";"0";"0";"1011";"0";"0";""
Rimini;20/5/2024;"18";"14";"21";"17";"92";"15";"0";"0";"0";"1010";"0";"0";pioggia
Rimini;21/5/2024;"18";"18";"18";"18";"100";"8";"0";"0";"0";"1007";"0";"0";"pioggia "
Rimini;22/5/2024;"20";"13";"25";"10";"56";"20";"0";"0";"0";"1011";"0";"0";pioggia
Rimini;23/5/2024;"18";"10";"23";"11";"66";"20";"0";"0";"0";"1016";"0";"0";pioggia
Rimini;24/5/2024;"18";"12";"22";"12";"70";"20";"0";"0";"0";"1018";"0";"0";""
Rimini;25/5/2024;"17";"14";"22";"13";"77";"20";"0";"0";"0";"1016";"0";"0";pioggia
Rimini;26/5/2024;"18";"12";"23";"13";"70";"21";"0";"0";"0";"1017";"0";"0";""
Rimini;27/5/2024;"19";"12";"23";"14";"74";"20";"0";"0";"0";"1018";"0";"0";""
Rimini;28/5/2024;"19";"15";"23";"16";"81";"19";"0";"0";"0";"1014";"0";"0";pioggia
Rimini;29/5/2024;"19";"15";"23";"15";"79";"20";"0";"0";"0";"1014";"0";"0";""
Rimini;30/5/2024;"21";"14";"27";"14";"67";"21";"0";"0";"0";"1007";"0";"0";"pioggia "
Rimini;31/5/2024;"21";"15";"26";"14";"66";"19";"3";"30";"0";"1003";"0";"0";pioggia
