LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Rimini;1/3/2024;"13";"12";"15";"10";"82";"16";"12";"21";"0";"1004";"0";"0";"pioggia "
Rimini;2/3/2024;"12";"7";"16";"8";"73";"20";"9";"13";"0";"1009";"0";"0";"pioggia "
Rimini;3/3/2024;"13";"9";"17";"7";"71";"19";"14";"28";"0";"1007";"0";"0";""
Rimini;4/3/2024;"11";"10";"12";"8";"82";"19";"11";"24";"0";"1006";"0";"0";"pioggia "
Rimini;5/3/2024;"12";"8";"16";"9";"81";"18";"8";"18";"0";"1011";"0";"0";"pioggia "
Rimini;6/3/2024;"9";"4";"14";"3";"66";"20";"8";"21";"0";"1014";"0";"0";"pioggia "
Rimini;7/3/2024;"9";"5";"13";"5";"76";"20";"12";"21";"0";"1017";"0";"0";"pioggia "
Rimini;8/3/2024;"9";"3";"13";"6";"81";"22";"10";"24";"0";"1015";"0";"0";"pioggia "
Rimini;9/3/2024;"11";"10";"14";"9";"86";"19";"8";"18";"0";"1010";"0";"0";"pioggia "
Rimini;10/3/2024;"11";"9";"15";"9";"84";"16";"10";"28";"0";"1004";"0";"0";"pioggia "
Rimini;11/3/2024;"11";"7";"15";"7";"78";"20";"8";"15";"0";"1005";"0";"0";""
Rimini;12/3/2024;"11";"5";"15";"6";"76";"21";"9";"21";"0";"1012";"0";"0";""
Rimini;13/3/2024;"9";"5";"15";"6";"83";"20";"5";"11";"0";"1016";"0";"0";""
Rimini;14/3/2024;"10";"3";"16";"7";"84";"21";"7";"17";"0";"1017";"0";"0";""
Rimini;15/3/2024;"11";"4";"16";"7";"76";"20";"6";"15";"0";"1017";"0";"0";""
Rimini;16/3/2024;"13";"11";"16";"9";"76";"20";"5";"11";"0";"1019";"0";"0";"pioggia "
Rimini;17/3/2024;"12";"7";"17";"10";"84";"20";"7";"17";"0";"1021";"0";"0";""
Rimini;18/3/2024;"13";"9";"16";"10";"85";"14";"5";"9";"0";"1015";"0";"0";"pioggia "
Rimini;19/3/2024;"12";"8";"15";"10";"89";"12";"8";"13";"0";"1017";"0";"0";pioggia
Rimini;20/3/2024;"11";"5";"16";"6";"75";"19";"8";"18";"0";"1022";"0";"0";""
Rimini;21/3/2024;"12";"5";"16";"8";"79";"17";"7";"13";"0";"1021";"0";"0";"pioggia "
Rimini;22/3/2024;"13";"9";"17";"10";"82";"12";"9";"21";"0";"1019";"0";"0";""
Rimini;23/3/2024;"15";"6";"22";"7";"62";"20";"14";"35";"0";"1011";"0";"0";""
Rimini;24/3/2024;"14";"6";"16";"5";"55";"20";"15";"30";"0";"1007";"0";"0";"pioggia "
Rimini;25/3/2024;"10";"3";"15";"4";"69";"22";"11";"26";"0";"1008";"0";"0";""
Rimini;26/3/2024;"10";"9";"12";"8";"85";"13";"7";"13";"0";"1001";"0";"0";"pioggia "
Rimini;27/3/2024;"12";"8";"15";"8";"79";"15";"11";"30";"0";"995";"0";"0";"pioggia "
Rimini;28/3/2024;"14";"6";"20";"8";"68";"22";"16";"30";"0";"1002";"0";"0";"pioggia "
Rimini;29/3/2024;"17";"13";"20";"10";"65";"20";"11";"21";"0";"1011";"0";"0";""
Rimini;30/3/2024;"15";"11";"20";"12";"84";"11";"12";"28";"0";"1007";"0";"0";""
Rimini;31/3/2024;"19";"13";"24";"11";"61";"18";"13";"24";"0";"1006";"0";"0";""
